route_market_key,N,origin_market,dest_market,n_aeropuertos_origen,n_aeropuertos_destino,aeropuertos_origen,aeropuertos_destino,precio_medio_real,precio_medio_predicho,MAE,RMSE,MAPE_%,R2,lat_origin_market,lon_origin_market,lat_dest_market,lon_dest_market,dificultad,color
MIAMI__SAN_FRANCISCO,1142,SAN_FRANCISCO,MIAMI,3,3,"MIA, OAK, SFO","MIA, OAK, SFO",492.6261733800351,465.1665622066857,120.52661883716895,180.22049836770591,27.930667307746873,0.49145576447793327,37.66695,-122.29935,25.7959,-80.287,Difícil de predecir,red
PHILADELPHIA__SAN_FRANCISCO,1180,SAN_FRANCISCO,PHILADELPHIA,3,3,"OAK, PHL, SFO","OAK, PHL, SFO",490.2766694915254,495.62776460521223,115.46195663265051,177.05244012702067,31.60535096623455,0.41230043626079016,37.66695,-122.29935,39.8744,-75.2424,Difícil de predecir,red
CHARLOTTE__SAN_FRANCISCO,1252,CHARLOTTE,SAN_FRANCISCO,3,3,"CLT, OAK, SFO","CLT, OAK, SFO",509.136589456869,515.5865233458787,112.52627242305705,177.08478088848446,25.66338434572704,0.32252083191880754,35.2144,-80.9473,37.66695,-122.29935,Difícil de predecir,red
CHICAGO__SAN_FRANCISCO,1127,SAN_FRANCISCO,CHICAGO,3,3,"OAK, ORD, SFO","OAK, ORD, SFO",387.9170896184561,364.35984379942914,106.98048376005924,190.27371772704626,30.109663779701624,0.4792362126755808,37.66695,-122.29935,41.9742,-87.9073,Difícil de predecir,red
ATLANTA__SAN_FRANCISCO,1571,SAN_FRANCISCO,ATLANTA,3,3,"ATL, OAK, SFO","ATL, OAK, SFO",452.867568427753,439.6396858171751,104.51137076859014,161.89053040418122,28.84441643790982,0.426356908930713,37.66695,-122.29935,33.6407,-84.4277,Difícil de predecir,red
BOSTON__SAN_FRANCISCO,1371,BOSTON,SAN_FRANCISCO,3,3,"BOS, OAK, SFO","BOS, OAK, SFO",431.25891320204227,426.1838898241252,104.02867699326677,184.6013105966631,26.123893660327447,0.4596692708353487,42.3656,-71.0096,37.66695,-122.29935,Difícil de predecir,red
DETROIT__SAN_FRANCISCO,1322,SAN_FRANCISCO,DETROIT,3,3,"DTW, OAK, SFO","DTW, OAK, SFO",461.7873146747353,440.23085289987216,100.11208305637285,150.9423109399184,24.675948365886846,0.43465266469391395,37.66695,-122.29935,42.2162,-83.3554,Difícil de predecir,red
NEW_YORK__SAN_FRANCISCO,3634,NEW_YORK,SAN_FRANCISCO,5,5,"EWR, JFK, LGA, OAK, SFO","EWR, JFK, LGA, OAK, SFO",436.8027765547606,417.74481047000677,96.62105804605946,158.1841253727475,24.061694662043994,0.4758072265608223,40.70256666666666,-73.9422,37.66695,-122.29935,Difícil de predecir,red
BOSTON__WASHINGTON,502,WASHINGTON,BOSTON,2,2,"BOS, IAD","BOS, IAD",366.5607370517928,305.98961313695077,96.4128847906772,123.74317248564815,28.733367756981057,0.6003674118448874,38.9531,-77.4565,42.3656,-71.0096,Difícil de predecir,red
DENVER__SAN_FRANCISCO,1038,SAN_FRANCISCO,DENVER,3,3,"DEN, OAK, SFO","DEN, OAK, SFO",313.93181117533715,315.67856332768474,93.75457971809091,168.18575498479026,39.95136391051969,0.40171687458402194,37.66695,-122.29935,39.8561,-104.6737,Difícil de predecir,red
